"V1"
41
1
1
5
5
8
7
5
3
11
7
20
1
8
14
8
8
17
14
12
6
5
7
1
4
8
5
6
3
3
6
4
5
1
8
2
5
5
3
7
3
3
5
3
1
5
5
4
1
1
5
1
2
2
1
2
1
1
2
2
1
1
1
1
2
2
1
1
1
3
1
