crime,date_rept,chrgdesc,agency,name_code,age,race,sex,inci_id
Murder,12/05/2009,MURDER/NONNEGLIGENT MANSLAUGHTER,WPD,VI,,,,09018307
Murder,12/05/2009,MURDER/NONNEGLIGENT MANSLAUGHTER,WPD,VI,31,B,M,09018307
Murder,04/19/2010,MURDER/NONNEGLIGENT MANSLAUGHTER,WPD,VI,25,W,M,10000519
